movie_title;actor_1;actor_2;actor_3;actor_4;actor_5;actor_6;actor_7;actor_8;actor_9;actor_10
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;William Moseley;Anna Popplewell;Skandar Keynes;Georgie Henley;Liam Neeson;Tilda Swinton;James McAvoy;Jim Broadbent;Kiran Shah;James Cosmo
X-Men: Apocalypse;James McAvoy;Michael Fassbender;Jennifer Lawrence;Nicholas Hoult;Oscar Isaac;Rose Byrne;Evan Peters;Josh Helman;Sophie Turner;Tye Sheridan
The Dark Knight;Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine;Maggie Gyllenhaal;Gary Oldman;Morgan Freeman;Monique Gabriela Curnen;Ron Dean;Cillian Murphy
Up;Ed Asner;Christopher Plummer;Jordan Nagai;Bob Peterson;Delroy Lindo;Jerome Ranft;John Ratzenberger;David Kaye;Elie Docter;Jeremy Leary
Iron Man;Robert Downey Jr.;Terrence Howard;Jeff Bridges;Shaun Toub;Gwyneth Paltrow;Faran Tahir;Paul Bettany;Leslie Bibb;Clark Gregg;Will Lyman
Hugo;Ben Kingsley;Sacha Baron Cohen;Asa Butterfield;Ray Winstone;Emily Mortimer;Christopher Lee;Helen McCrory;Michael Stuhlbarg;Frances de la Tour;Richard Griffiths
Wild Wild West;Will Smith;Kevin Kline;Kenneth Branagh;Salma Hayek;M. Emmet Walsh;Ted Levine;Frederique van der Wal;Musetta Vander;Sofia Eng;Garcelle Beauvais
The Mummy: Tomb of the Dragon Emperor;Brendan Fraser;Jet Li;John Hannah;Maria Bello;Luke Ford;Michelle Yeoh;Isabella Leong;Anthony Wong;Russell Wong;Liam Cunningham
Suicide Squad;Will Smith;Margot Robbie;Joel Kinnaman;Viola Davis;Jared Leto;Jai Courtney;Jay Hernandez;Adewale Akinnuoye-Agbaje;Cara Delevingne;Karen Fukuhara
Evan Almighty;Steve Carell;Lauren Graham;John Goodman;Jimmy Bennett;John Michael Higgins;Morgan Freeman;Wanda Sykes;Graham Phillips;Johnny Simmons;Jonah Hill
Edge of Tomorrow;Tom Cruise;Emily Blunt;Brendan Gleeson;Bill Paxton;Jonas Armstrong;Tony Way;Kick Gurry;Franz Drameh;Dragomir Mrsic;Charlotte Riley
Waterworld;Kevin Costner;Chaim Girafi;Rick Aviles;R. D. Call;Zitto Kazann;Jeanne Tripplehorn;Dennis Hopper;Jack Black;Zakes Mokae;Jack Kehler
G.I. Joe: The Rise of Cobra;Dennis Quaid;Channing Tatum;Marlon Wayans;Sienna Miller;Joseph Gordon-Levitt;Christopher Eccleston;Adewale Akinnuoye-Agbaje;Lee Byung-hun;Rachel Nichols;Ray Park
Inside Out;Amy Poehler;Phyllis Smith;Richard Kind;Bill Hader;Lewis Black;Mindy Kaling;Kaitlyn Dias;Diane Lane;Kyle MacLachlan;Paula Poundstone
The Jungle Book;Neel Sethi;Bill Murray;Ben Kingsley;Idris Elba;Scarlett Johansson;Christopher Walken;Lupita Nyong'o;Giancarlo Esposito;Garry Shandling;Jon Favreau
Iron Man 2;Robert Downey Jr.;Gwyneth Paltrow;Don Cheadle;Scarlett Johansson;Mickey Rourke;Sam Rockwell;Samuel L. Jackson;Clark Gregg;John Slattery;Garry Shandling
Snow White and the Huntsman;Kristen Stewart;Charlize Theron;Chris Hemsworth;Sam Claflin;Ian McShane;Ray Winstone;Nick Frost;Toby Jones;Eddie Marsan;Bob Hoskins
Maleficent;Angelina Jolie;Elle Fanning;Sharlto Copley;Sam Riley;Juno Temple;Imelda Staunton;Lesley Manville;Brenton Thwaites;Isobelle Molloy;Miranda Richardson
Dawn of the Planet of the Apes;Andy Serkis;Jason Clarke;Gary Oldman;Keri Russell;Toby Kebbell;Kodi Smit-McPhee;Kirk Acevedo;Judy Greer;Terry Notary;Karin Konoval
47 Ronin;Keanu Reeves;Hiroyuki Sanada;Kou Shibasaki;Tadanobu Asano;Min Tanaka;Rinko Kikuchi;Jin Akanishi;Masayoshi Haneda;Hiroshi Sogabe;Takato Yonemoto
